province,cityname,record_date,high,low,weather,wd,ws
上海,上海,1/4/2023,21,10,多云~晴,东风,2
上海,上海,2/4/2023,23,12,晴,西北风,1
上海,上海,3/4/2023,21,15,多云~小雨,北风,1
上海,上海,4/4/2023,20,13,多云~小雨,东南风,1
上海,上海,5/4/2023,17,10,多云,西北风,2
上海,上海,6/4/2023,13,10,小雨~多云,西北风,2
上海,上海,7/4/2023,17,8,多云,东北风,2
上海,上海,8/4/2023,19,10,晴,东风,1
上海,上海,9/4/2023,20,12,晴,西北风,1
上海,上海,10/4/2023,26,17,多云,西风,1
上海,上海,11/4/2023,24,13,多云,北风,1
上海,上海,12/4/2023,20,13,多云,北风,1
上海,上海,13/4/2023,25,14,阴,西北风,1
上海,上海,14/4/2023,23,16,多云,北风,3
上海,上海,15/4/2023,22,15,多云,西南风,3
上海,上海,16/4/2023,25,13,晴,北风,1
上海,上海,17/4/2023,25,14,晴,南风,3
上海,上海,18/4/2023,31,19,多云,东风,1
上海,上海,19/4/2023,26,14,晴,北风,3
上海,上海,20/4/2023,22,16,多云,北风,1
上海,上海,21/4/2023,20,12,多云,北风,3
上海,上海,22/4/2023,21,10,多云,东风,2
上海,上海,23/4/2023,17,14,小雨,北风,1
上海,上海,1/3/2023,16,6,多云,东北风,1
上海,上海,2/3/2023,13,4,多云~晴,东风,2
上海,上海,3/3/2023,13,6,多云,北风,1
上海,上海,4/3/2023,18,7,晴,东南风,2
上海,上海,5/3/2023,18,9,晴,东南风,2
上海,上海,6/3/2023,23,10,晴~多云,西北风,1
上海,上海,7/3/2023,23,12,多云,南风,3
上海,上海,8/3/2023,24,14,多云,北风,2
上海,上海,9/3/2023,25,13,多云~晴,东北风,1
上海,上海,10/3/2023,27,13,晴~多云,东南风,1
上海,上海,11/3/2023,22,10,多云~小雨,北风,1
上海,上海,12/3/2023,12,5,小雨~多云,南风,1
上海,上海,13/3/2023,14,7,多云~晴,东北风,1
上海,上海,14/3/2023,20,11,晴,东南风,3
上海,上海,15/3/2023,23,9,多云,东北风,3
上海,上海,16/3/2023,15,8,多云~小雨,东北风,1
上海,上海,17/3/2023,9,7,大雨~多云,北风,1
上海,上海,18/3/2023,11,7,多云,北风,1
上海,上海,19/3/2023,13,10,多云~小雨,北风,1
上海,上海,20/3/2023,14,12,多云~中雨,东南风,2
